bhar_candidate,N,mean,median,p25,p75,coef,t_HC1,p_HC1,paper_mean,paper_median,paper_coef,paper_t
BHAR,471,-0.05999375690018643,-0.222623462177226,-0.40391598900896797,0.087665274140895,0.0033078817824742576,0.295954566920592,0.7672647782089828,-0.036,-0.17,-0.0188,-2.14
excl_first_BHAR_ew,471,-0.05693372392185504,-0.222623462177226,-0.40391598900896797,0.087665274140895,0.004837353439120327,0.41762495044016645,0.6762213516177956,-0.036,-0.17,-0.0188,-2.14
excl_first_BHAR_vw,471,-0.38164540404671055,-0.4702423576871861,-0.7673550393003192,-0.1218714364416011,0.00787875710857162,0.683829615373826,0.4940827632837067,-0.036,-0.17,-0.0188,-2.14
incl_first_BHAR_ew,471,1.0932271736434365,0.5598923234442201,0.10050515257650935,1.4852619587214746,0.04504609114477954,1.427772257374673,0.15335742046531547,-0.036,-0.17,-0.0188,-2.14
incl_first_BHAR_vw,471,0.767990754566626,0.2390841205081966,-0.2602756244360367,1.0737730565584298,0.04737386809760823,1.500819172400675,0.13340233839639903,-0.036,-0.17,-0.0188,-2.14
excl_first_BHAR_ew_w1p,471,-0.05999375690018643,-0.222623462177226,-0.40391598900896797,0.087665274140895,0.0033078817824742576,0.295954566920592,0.7672647782089828,-0.036,-0.17,-0.0188,-2.14
excl_first_BHAR_vw_w1p,471,-0.3853803909333888,-0.4702423576871861,-0.7673550393003192,-0.1218714364416011,0.005832643612017558,0.5295784499743198,0.5964042390075155,-0.036,-0.17,-0.0188,-2.14
incl_first_BHAR_ew_w1p,471,1.0795595226554937,0.5598923234442201,0.10050515257650935,1.4852619587214746,0.046233427987418474,1.493611947930786,0.13527707475249015,-0.036,-0.17,-0.0188,-2.14
incl_first_BHAR_vw_w1p,471,0.7520868953856996,0.2390841205081966,-0.2602756244360367,1.0737730565584298,0.047850691075950934,1.5540306584797245,0.12017710375651244,-0.036,-0.17,-0.0188,-2.14
