name,unit,process,threshold,floor,chunk_n,firm_n,floor_applied_n,loss_all,loss_chunk_num,loss_text,loss_summary,loss_red_chunk,loss_lnn,loss_red_firm,panel_b_n,panel_b_rho,panel_b_p,panel_b_cluster_coef,panel_b_cluster_p,low_score_red_median,high_score_red_median,panel_c_rho,panel_c_p,panel_d_rho,panel_d_p,Chunk_num_n,Chunk_num_mean,Chunk_num_std,Chunk_num_p25,Chunk_num_median,Chunk_num_p75,Chunk_num_min,Chunk_num_max,Text_len_n,Text_len_mean,Text_len_std,Text_len_p25,Text_len_median,Text_len_p75,Text_len_min,Text_len_max,Summary_len_n,Summary_len_mean,Summary_len_std,Summary_len_p25,Summary_len_median,Summary_len_p75,Summary_len_min,Summary_len_max,Redundancy_chunk_n,Redundancy_chunk_mean,Redundancy_chunk_std,Redundancy_chunk_p25,Redundancy_chunk_median,Redundancy_chunk_p75,Redundancy_chunk_min,Redundancy_chunk_max,lnN_tech_n,lnN_tech_mean,lnN_tech_std,lnN_tech_p25,lnN_tech_median,lnN_tech_p75,lnN_tech_min,lnN_tech_max,Redundancy_n,Redundancy_mean,Redundancy_std,Redundancy_p25,Redundancy_median,Redundancy_p75,Redundancy_min,Redundancy_max
proxy_tailmerge2000_floor50,Summary_len_proxy,merge_tail,2000,50,794,50,14,0.06043254888569554,0.04350595542721959,0.008777963373777387,0.07316075801025732,0.060934181894194396,0.11488056421741732,0.0613358703913072,781,-0.10877321021059483,0.002334672778288433,-0.15494620312303903,0.8145225295259291,32.925619834710744,30.9921875,0.09157207885689432,0.00983208770415332,-0.28235468259603447,5.094252162524035e-16,794,18.876574307304786,7.484991648455428,13.0,17.0,23.0,2.0,35.0,794,3926.5755667506296,336.97548746170946,3901.25,3968.0,3990.75,2025.0,5976.0,794,128.94584382871537,46.06356526035653,103.0,121.0,144.0,50.0,500.0,794,33.62931846924585,11.067870060007916,26.939564564564566,32.11290322580645,37.67240332523818,7.984,79.92,50,10.92696576782062,0.5451088963306822,10.767869339170002,11.002759490042893,11.187490641631266,8.798152718107191,11.835595748469478,50,30.215033226938154,2.9739550197422977,28.244589554488424,30.729144158750998,32.11852463726993,22.355721393034827,36.13526301141108
proxy_tailmerge1500_floor50,Summary_len_proxy,merge_tail,1500,50,804,50,14,0.060961231638239056,0.056990060339389935,0.006590211969955515,0.06805006270541832,0.05792062020594604,0.11488056421741732,0.0613358703913072,791,-0.10221634311279718,0.004004580056288009,-0.19156689830193563,0.7709768678754584,32.85950413223141,31.090711805555557,0.09884358331192958,0.005028367298638248,-0.28691469306228334,1.0600551046031315e-16,804,18.987562189054728,7.376030280053572,14.0,17.0,23.0,2.0,35.0,804,3877.7375621890546,352.31187295163966,3892.0,3967.0,3990.0,1511.0,5363.0,804,127.34203980099502,44.31868260355308,103.0,121.0,143.0,50.0,500.0,804,33.51756606621987,11.121399689608955,26.769449806949808,32.11290322580645,37.67067532224921,7.984,79.92,50,10.92696576782062,0.5451088963306822,10.767869339170002,11.002759490042893,11.187490641631266,8.798152718107191,11.835595748469478,50,30.215033226938154,2.9739550197422977,28.244589554488424,30.729144158750998,32.11852463726993,22.355721393034827,36.13526301141108
proxy_tailmerge2000_floor80,Summary_len_proxy,merge_tail,2000,80,794,50,62,0.06197866812476701,0.04350595542721959,0.008777963373777387,0.06232159004337721,0.10267468979159547,0.11488056421741732,0.03971124589521509,781,-0.112854643091896,0.001583529240278923,-0.24458590199989483,0.5603049235646403,32.925619834710744,30.9921875,0.08822041753438441,0.012889450670502052,-0.27908132014919784,1.1352590644231743e-15,794,18.876574307304786,7.484991648455428,13.0,17.0,23.0,2.0,35.0,794,3926.5755667506296,336.97548746170946,3901.25,3968.0,3990.75,2025.0,5976.0,794,130.2418136020151,44.300526639251395,103.0,121.0,144.0,80.0,500.0,794,32.53175534860241,8.219664476787191,26.939564564564566,32.11290322580645,37.67240332523818,7.984,49.9875,50,10.92696576782062,0.5451088963306822,10.767869339170002,11.002759490042893,11.187490641631266,8.798152718107191,11.835595748469478,50,29.955338612294035,2.762257334897055,28.020677573893288,30.666670163952773,31.86091965363017,22.355721393034827,34.9175911251981
proxy_tailmerge2000_floor60,Summary_len_proxy,merge_tail,2000,60,794,50,25,0.06216652862817538,0.04350595542721959,0.008777963373777387,0.07059334083073428,0.07737935770134083,0.11488056421741732,0.057861990218562864,781,-0.10952632871327934,0.0021753364377577844,-0.145941229693967,0.7979037762266306,32.925619834710744,30.9921875,0.091565314510895,0.009837544542238985,-0.28241230914381144,5.022410679875592e-16,794,18.876574307304786,7.484991648455428,13.0,17.0,23.0,2.0,35.0,794,3926.5755667506296,336.97548746170946,3901.25,3968.0,3990.75,2025.0,5976.0,794,129.21284634760704,45.63400964219866,103.0,121.0,144.0,60.0,500.0,794,33.301901144280755,9.983998079045561,26.939564564564566,32.11290322580645,37.67240332523818,7.984,66.65,50,10.92696576782062,0.5451088963306822,10.767869339170002,11.002759490042893,11.187490641631266,8.798152718107191,11.835595748469478,50,30.16495833798612,2.9328032112973537,28.244589554488424,30.729144158750998,32.11852463726993,22.355721393034827,35.85584092792046
proxy_tailmerge2000_floor100,Summary_len_proxy,merge_tail,2000,100,794,50,165,0.06263787627502236,0.04350595542721959,0.008777963373777387,0.04613396938101208,0.13556790984426942,0.11488056421741732,0.026960895406438333,781,-0.1291140460538366,0.0002972980668604783,-0.5940785004979081,0.046868599222797146,32.768595041322314,30.9921875,0.06669666587549461,0.06031140177559774,-0.2545034078919069,3.3305189569462015e-13,794,18.876574307304786,7.484991648455428,13.0,17.0,23.0,2.0,35.0,794,3926.5755667506296,336.97548746170946,3901.25,3968.0,3990.75,2025.0,5976.0,794,133.01637279596977,41.71610028385172,103.0,121.0,144.0,100.0,500.0,794,31.263559274773954,6.460734341919544,26.939564564564566,32.02039024390244,36.389587378640776,7.984,45.44660194174757,50,10.92696576782062,0.5451088963306822,10.767869339170002,11.002759490042893,11.187490641631266,8.798152718107191,11.835595748469478,50,29.38409710368316,2.4757678129685985,27.70879215130338,30.189699438250543,31.104007964470377,22.355721393034827,33.14894684052157
glm4token_tailmerge1500_floor0,Summary_len_glm4,merge_tail,1500,0,804,50,0,0.16855376669445354,0.056990060339389935,0.006590211969955515,0.13367026963917925,0.6220971218620754,0.11488056421741732,0.07709437213870382,791,-0.11258893334292995,0.001515941618066167,-4.013496627499364,0.1923908077091252,28.762589928057555,26.785234899328856,0.09533638971635504,0.00682609492457269,-0.22860300671617795,5.4179269471303045e-11,804,18.987562189054728,7.376030280053572,14.0,17.0,23.0,2.0,35.0,804,3877.7375621890546,352.31187295163966,3892.0,3967.0,3990.0,1511.0,5363.0,804,146.09577114427861,53.205534707998176,117.0,138.0,166.0,3.0,589.0,804,31.67880169099353,45.512064849085824,23.187047416794318,28.085106382978722,32.90909090909091,6.777589134125637,1233.3333333333333,50,10.92696576782062,0.5451088963306822,10.767869339170002,11.002759490042893,11.187490641631266,8.798152718107191,11.835595748469478,50,26.35977751419448,2.6946629925889267,24.806635501338302,26.679431645892727,27.849165900406085,20.65977011494253,32.381769256643125
glm4token_tailmerge2000_floor0,Summary_len_glm4,merge_tail,2000,0,794,50,0,0.16976753182049728,0.04350595542721959,0.008777963373777387,0.15094350739307016,0.6234028283727954,0.11488056421741732,0.07709437213870382,781,-0.11887187668290847,0.0008730686387457183,-4.042728514949307,0.19610108473745058,28.773722627737225,26.785234899328856,0.08858959854659942,0.012515824186732168,-0.22141795541528553,2.83136765093358e-10,794,18.876574307304786,7.484991648455428,13.0,17.0,23.0,2.0,35.0,794,3926.5755667506296,336.97548746170946,3901.25,3968.0,3990.75,2025.0,5976.0,794,147.93576826196474,55.148129358386505,118.0,139.0,167.0,3.0,589.0,794,31.803780544197764,45.76988979942314,23.413613948573442,28.125918762088972,32.94214876033058,6.777589134125637,1233.3333333333333,50,10.92696576782062,0.5451088963306822,10.767869339170002,11.002759490042893,11.187490641631266,8.798152718107191,11.835595748469478,50,26.35977751419448,2.6946629925889267,24.806635501338302,26.679431645892727,27.849165900406085,20.65977011494253,32.381769256643125
raw_proxy,Summary_len_proxy,keep,0,0,821,50,0,0.1845877898071202,0.09176092090798263,0.12172005549029385,0.06929806254324171,0.6421871414274423,0.11488056421741732,0.06767999425634354,808,-0.09280669687494832,0.00829851272905863,-3.647122880304946,0.2213281662155292,32.76544506164476,31.090711805555557,0.10149104813156659,0.0036013326800486186,-0.27952448689830606,3.343402713230133e-16,821,19.40438489646772,7.676202075910367,14.0,18.0,24.0,2.0,36.0,821,3797.4433617539585,545.2328889480495,3883.0,3965.0,3989.0,61.0,3999.0,821,124.32521315468941,42.47849051231116,102.0,120.0,141.0,3.0,500.0,821,35.73109549916916,45.9059679736672,26.64666666666667,31.992,37.66981132075472,2.5245901639344264,1233.3333333333333,50,10.92696576782062,0.5451088963306822,10.767869339170002,11.002759490042893,11.187490641631266,8.798152718107191,11.835595748469478,50,30.288615640668063,3.050724069572215,28.244589554488424,30.729144158750998,32.11852463726993,22.355721393034827,36.61421319796954
raw_glm4token,Summary_len_glm4,keep,0,0,821,50,0,0.18896737563519425,0.09176092090798263,0.12172005549029385,0.10966180299518802,0.6186865380615798,0.11488056421741732,0.07709437213870382,808,-0.10489291112676738,0.0028335640782705556,-3.8788934323040527,0.20051257734901895,28.723021582733814,26.785234899328856,0.10266627369178591,0.0032294430536152267,-0.22355064244811287,9.306237831849838e-11,821,19.40438489646772,7.676202075910367,14.0,18.0,24.0,2.0,36.0,821,3797.4433617539585,545.2328889480495,3883.0,3965.0,3989.0,61.0,3999.0,821,143.0706455542022,50.532190930064644,116.0,137.0,164.0,3.0,589.0,821,31.362403451502576,45.14101715471201,23.105882352941176,28.056338028169016,32.892561983471076,2.2318840579710146,1233.3333333333333,50,10.92696576782062,0.5451088963306822,10.767869339170002,11.002759490042893,11.187490641631266,8.798152718107191,11.835595748469478,50,26.35977751419448,2.6946629925889267,24.806635501338302,26.679431645892727,27.849165900406085,20.65977011494253,32.381769256643125
