model,dep_var,target_var,N,coef,se_HC1,t_HC1,p_HC1,adj_r2,formula
simple,FInvention,Redundancy,523,0.005549671974002133,0.010633683015405102,0.521895562051481,0.6017430484434856,-0.001383594535800281,FInvention ~ Redundancy
fe_text,FInvention,Redundancy,523,0.006736164755065536,0.012048228147386392,0.5591000330224328,0.5760934522233765,0.10826587846843194,FInvention ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe)
controls_fe,FInvention,Redundancy,523,-0.00035331079741865185,0.009721470694282029,-0.03634334850450787,0.9710085856458535,0.33186858307251654,FInvention ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe)
simple,BHAR,Redundancy,532,-0.004102402971478049,0.004841961994574187,-0.8472604650914496,0.39684995766064535,-0.00017571131967564213,BHAR ~ Redundancy
fe_text,BHAR,Redundancy,532,-0.0003126616649279997,0.005335443236901536,-0.0586008792607027,0.9532700103396092,-0.009084911874652546,BHAR ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe)
controls_fe,BHAR,Redundancy,532,-0.0007193804490706813,0.005357051263983497,-0.13428664644432595,0.8931759121942878,-0.018871613494529038,BHAR ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe)
simple,FSales_Growth,Redundancy,529,0.017044071622200275,0.012480188586485108,1.3656902300865414,0.17203621212932263,0.0005918590424360826,FSales_Growth ~ Redundancy
fe_text,FSales_Growth,Redundancy,529,0.010133359096112297,0.013677560733592378,0.7408747285782145,0.45876939958889307,0.12850063234958153,FSales_Growth ~ Redundancy + lnN_tech + C(listing_year_fe) + C(industry_fe)
controls_fe,FSales_Growth,Redundancy,529,0.0017765254818685695,0.013930642679407221,0.1275264553655298,0.8985237357655452,0.204342261973687,FSales_Growth ~ Redundancy + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe)
pricing_rd_asset_controls_fe,Price_Issue_pb_indadj,RD_Low_x_Redundancy_High,541,0.009104451444724715,0.0715656903735819,0.12721810405514616,0.8987677768391885,0.15879708947244475,Price_Issue_pb_indadj ~ RD_Low_x_Redundancy_High + RD_Low + Redundancy_High + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe)
pricing_rd_asset_controls_fe,Price_Day5_pb_indadj,RD_Low_x_Redundancy_High,541,-0.07154914629456743,0.14902188641510875,-0.4801250877690765,0.6311384501612136,0.0741721018654059,Price_Day5_pb_indadj ~ RD_Low_x_Redundancy_High + RD_Low + Redundancy_High + lnN_tech + Size + Lev + ROA + Offerfee + Underwriter + Age + C(listing_year_fe) + C(industry_fe)
