variable,paper_variable,current_N,current_mean,current_std,current_p25,current_median,current_p75,paper_N,paper_mean,paper_median,mean_gap
lnN_tech,lnN_tech,566,10.967236646016104,0.3280736057744455,10.7745181365954,10.980576969706773,11.173099530031253,552,10.962,10.91,0.005236646016104629
Redundancy,Redundancy,566,29.05311105222271,2.282481493588077,27.60664963647577,28.847072837707014,30.603897451559405,552,29.074,28.91,-0.020888947777290667
FInvention,FInvention,556,2.3388429380883977,1.195417465950286,1.6094379124341005,2.1972245773362196,2.995732273553991,471,2.282,2.197,0.05684293808839769
BHAR,BHAR,566,-0.05396859632017281,0.49668849472775456,-0.3865050372046461,-0.1983570599658787,0.08121236528741295,471,-0.036,-0.17,-0.017968596320172815
FSales_Growth,FSales_Growth,563,0.3994935156759742,1.6372357065220182,-0.040355998786652594,0.1547518920015702,0.3854451165674248,471,0.53,0.18,-0.13050648432402584
Size,Size,566,20.786610995861682,1.0075265121623116,20.12187750427055,20.578792566157663,21.243458203262325,552,20.741,20.533,0.045610995861682824
Size_ipo_pre,Size,566,20.74765068217816,1.0067146198371733,20.072691871231804,20.537640399816432,21.189987794773746,552,20.741,20.533,0.00665068217816156
Lev,Lev,566,0.3586817653582407,0.18601257678135452,0.21160315885732056,0.3351002935212238,0.4784659430456859,552,0.356,0.334,0.0026817653582407175
Lev_ipo_pre,Lev,566,0.3561496245158049,0.18267867517052486,0.20783425571041775,0.33372428842194957,0.4755597058243371,552,0.356,0.334,0.00014962451580491365
ROA,ROA,566,0.09259782200473685,0.18564423282906103,0.05849638556892875,0.10160055598131935,0.1573712164710354,552,0.094,0.1,-0.0014021779952631541
ROA_ipo_pre,ROA,566,0.0918837006072321,0.16682688965664372,0.05869444140684594,0.10018115940307827,0.1565791650457717,552,0.094,0.1,-0.0021162993927679036
Offerfee,Offerfee,566,18.323647525081828,0.4868768385720717,17.967248275223515,18.267184906819388,18.616142079345764,552,18.325,18.27,-0.0013524749181712536
Underwriter_ipo,Underwriter,564,0.6418439716312057,0.4798839451720923,0.0,1.0,1.0,552,0.574,1.0,0.0678439716312057
Age,Age,566,2.603079155196054,0.4125446844842682,2.345588581659806,2.651785215793083,2.8924989247147295,552,2.601,2.639,0.00207915519605395
NumIndSeg,NumIndSeg,554,0.883584177669302,0.3695415382738683,0.6931471805599453,0.6931471805599453,1.0986122886681098,552,0.854,0.693,0.029584177669301992
NumProdSeg,NumProdSeg,558,1.501485413499864,0.34467279191803096,1.3862943611198906,1.6094379124341003,1.791759469228055,552,1.475,1.609,0.026485413499863997
ScopeLen,ScopeLen,566,5.66899658813703,0.8310563727068772,5.153291594497779,5.755737206351457,6.270041461029065,552,5.671,5.762,-0.0020034118629705944
RD_Staff,RD_Staff,479,0.3032129436325678,0.1871706390346272,0.15894999999999998,0.24239999999999998,0.40595000000000003,552,0.305,0.24,-0.0017870563674322049
RD_Staff_ipo,RD_Staff,565,0.27997708334488997,0.20204275478002087,0.14018691588785046,0.2242562929061785,0.3864406779661017,552,0.305,0.24,-0.025022916655110028
