sample,variable,N,mean,std,p25,median,p75,original_N,original_mean,original_std,original_p25,original_median,original_p75,distance_all
full_2019_2023,FSales_current,538,0.4094078405973609,1.6726612765279378,-0.0482180615169181,0.15629103046068754,0.3858216176197689,471,0.53,1.522,-0.008,0.18,0.523,0.4723588493670386
full_2019_2023,FSales_L_to_L1_w1p,538,0.45138126317949206,2.0391498013047635,-0.04821806151691811,0.15629103046068757,0.3858216176197689,471,0.53,1.522,-0.008,0.18,0.523,0.7968739515617331
full_2019_2023,FSales_month_cutoff_9_w1p,538,0.317976252267612,0.9835227747775486,-0.0393266610044992,0.15564429132177765,0.3812261208939338,471,0.53,1.522,-0.008,0.18,0.523,0.9479572217436272
full_2019_2023,FSales_month_cutoff_6_w1p,539,0.252390578304838,0.688242929685923,-0.04475952190403455,0.15700850953651407,0.36732819884045054,471,0.53,1.522,-0.008,0.18,0.523,1.326789305536309
full_2019_2023,FSales_month_cutoff_3_w1p,538,0.25023775341143123,0.6924893164823454,-0.05828317092798814,0.15440600399756665,0.37020951552772663,471,0.53,1.522,-0.008,0.18,0.523,1.3379405815089183
full_2019_2023,FSales_L1_to_L2_w1p,537,0.18860095596364884,0.4629291016266138,-0.057463213532699606,0.14441402293845135,0.35042285543529855,471,0.53,1.522,-0.008,0.18,0.523,1.658096277568687
full_2019_2023,FSales_Lm1_to_L1_w1p,82,34.251672723619684,213.6319232135997,0.012937990610444837,0.34966343325543636,0.8570488862511999,471,0.53,1.522,-0.008,0.18,0.523,246.35624624733646
w2_2019_2022,FSales_current,471,0.4079162725950434,1.600925054147338,-0.03446156882656505,0.1654997044548003,0.40429278751235986,471,0.53,1.522,-0.008,0.18,0.523,0.3606778584116996
w2_2019_2022,FSales_L_to_L1_w1p,471,0.44786974278114844,1.9642746842447287,-0.03446156882656508,0.16549970445480033,0.4042927875123599,471,0.53,1.522,-0.008,0.18,0.523,0.6840740183229851
w2_2019_2022,FSales_month_cutoff_9_w1p,471,0.3174152088036062,0.911553556537774,-0.030634968915701912,0.16549970445480033,0.4037828544152383,471,0.53,1.522,-0.008,0.18,0.523,0.9793836447042831
w2_2019_2022,FSales_month_cutoff_6_w1p,472,0.2466356774983322,0.656492541393688,-0.04844980279323641,0.1528684137593991,0.3719565665036458,471,0.53,1.522,-0.008,0.18,0.523,1.3674966036381715
w2_2019_2022,FSales_month_cutoff_3_w1p,471,0.23139150307100112,0.6510252879524733,-0.0676167638615614,0.14694168687413706,0.3643109355149638,471,0.53,1.522,-0.008,0.18,0.523,1.4209473504489862
w2_2019_2022,FSales_L1_to_L2_w1p,470,0.17853650427733414,0.45299556355612913,-0.07607655780860302,0.1319261965283845,0.33952877503914675,471,0.53,1.522,-0.008,0.18,0.523,1.7200895184076086
w2_2019_2022,FSales_Lm1_to_L1_w1p,74,37.82585394151831,224.73708836848556,0.038186033520140265,0.34966343325543636,0.8570488862511999,471,0.53,1.522,-0.008,0.18,0.523,261.06084066303066
